<Location> second: 1480559243, nanosecond: 171986000, pose_x: 641004.907034015166573, pose_y: 3449731.598706719465554, zone: 40, heading: -1.222953077484276, covariance: 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 </Location>
<Lanemarking>
second: 1480559241, nanosecond: 660835000, sequence: 382
Id: 130, x: -0.920010, y: 1.721408, z: 0.000000
Id: 131, x: -0.520012, y: 1.722677, z: 0.000000
Id: 132, x: -0.120014, y: 1.723943, z: 0.000000
Id: 133, x: 0.279984, y: 1.725204, z: 0.000000
Id: 134, x: 0.679982, y: 1.726462, z: 0.000000
Id: 135, x: 1.079980, y: 1.727715, z: 0.000000
Id: 136, x: 1.479978, y: 1.728965, z: 0.000000
Id: 137, x: 1.879976, y: 1.730210, z: 0.000000
Id: 138, x: 2.279974, y: 1.731452, z: 0.000000
Id: 139, x: 2.679972, y: 1.732689, z: 0.000000
Id: 140, x: 3.079970, y: 1.733923, z: 0.000000
Id: 141, x: 3.479968, y: 1.735153, z: 0.000000
Id: 142, x: 3.879966, y: 1.736378, z: 0.000000
Id: 143, x: 4.279965, y: 1.737600, z: 0.000000
Id: 144, x: 4.679963, y: 1.738817, z: 0.000000
Id: 145, x: 5.079961, y: 1.740031, z: 0.000000
Id: 146, x: 5.479959, y: 1.741240, z: 0.000000
Id: 147, x: 5.879957, y: 1.742446, z: 0.000000
Id: 148, x: 6.279955, y: 1.743647, z: 0.000000
Id: 149, x: 6.679954, y: 1.744845, z: 0.000000
Id: 150, x: 7.079952, y: 1.746039, z: 0.000000
Id: 151, x: 7.479950, y: 1.747228, z: 0.000000
Id: 152, x: 7.879949, y: 1.748414, z: 0.000000
Id: 153, x: 8.279946, y: 1.749595, z: 0.000000
Id: 154, x: 8.679945, y: 1.750773, z: 0.000000
Id: 155, x: 9.079944, y: 1.751946, z: 0.000000
Id: 156, x: 9.479941, y: 1.753116, z: 0.000000
Id: 157, x: 9.879940, y: 1.754281, z: 0.000000
Id: 158, x: 10.279938, y: 1.755443, z: 0.000000
Id: 159, x: 10.679936, y: 1.756600, z: 0.000000
Id: 160, x: 11.079935, y: 1.757754, z: 0.000000
Id: 161, x: 11.479933, y: 1.758904, z: 0.000000
Id: 162, x: 11.879932, y: 1.760049, z: 0.000000
Id: 163, x: 12.279930, y: 1.761191, z: 0.000000
Id: 164, x: 12.679929, y: 1.762328, z: 0.000000
Id: 165, x: 13.079927, y: 1.763462, z: 0.000000
Id: 166, x: 13.479925, y: 1.764591, z: 0.000000
Id: 167, x: 13.879923, y: 1.765717, z: 0.000000
Id: 168, x: 14.279923, y: 1.766838, z: 0.000000
Id: 169, x: 14.679920, y: 1.767956, z: 0.000000
Id: 170, x: 15.079920, y: 1.769069, z: 0.000000
Id: 171, x: 15.479918, y: 1.770179, z: 0.000000
Id: 172, x: 15.879915, y: 1.771284, z: 0.000000
Id: 173, x: 16.279915, y: 1.772386, z: 0.000000
Id: 174, x: 16.679913, y: 1.773484, z: 0.000000
Id: 175, x: 17.079912, y: 1.774577, z: 0.000000
Id: 176, x: 17.479910, y: 1.775667, z: 0.000000
Id: 177, x: 17.879910, y: 1.776752, z: 0.000000
Id: 178, x: 18.279907, y: 1.777834, z: 0.000000
Id: 179, x: 18.679907, y: 1.778911, z: 0.000000
